,Ours (5),Ours (10),Ours (20),Ours (combined),DTW
ArticularyWordRecognition,0.967,0.973,0.943,0.987,0.987
AtrialFibrillation,0.2,0.067,0.133,0.133,0.2
BasicMotions,1,1,1,1,0.975
CharacterTrajectories,0.986,0.99,0.993,0.994,0.989
Cricket,0.958,0.972,0.972,0.986,1
DuckDuckGeese,0.6,0.675,0.65,0.675,0.6
EigenWorms,0.87,0.802,0.84,0.878,0.618
Epilepsy,0.971,0.971,0.971,0.957,0.964
Ering,0.133,0.133,0.133,0.133,0.133
EthanolConcentration,0.289,0.251,0.205,0.236,0.323
FaceDetection,0.522,0.525,0.513,0.528,0.529
FingerMovements,0.55,0.49,0.58,0.54,0.53
HandMovementDirection,0.311,0.297,0.351,0.27,0.231
Handwriting,0.447,0.464,0.451,0.533,0.286
Heartbeat,0.756,0.732,0.741,0.737,0.717
InsectWingbeat,0.159,0.158,0.156,0.16,
JapaneseVowels,0.984,0.986,0.989,0.989,0.949
Libras,0.878,0.883,0.883,0.867,0.87
LSST,0.535,0.552,0.509,0.558,0.551
MotorImagery,0.53,0.54,0.58,0.54,0.5
NATOPS,0.933,0.917,0.917,0.944,0.883
PEMS-SF,0.636,0.671,0.676,0.688,0.711
PenDigits,0.985,0.979,0.981,0.983,0.977
Phoneme,0.216,0.214,0.222,0.246,0.151
RacketSports,0.776,0.836,0.855,0.862,0.803
SelfRegulationSCP1,0.795,0.826,0.843,0.846,0.775
SelfRegulationSCP2,0.55,0.539,0.539,0.556,0.539
SpokenArabicDigits,0.908,0.894,0.905,0.956,0.963
StandWalkJump,0.333,0.4,0.333,0.4,0.2
UWaveGestureLibrary,0.884,0.869,0.875,0.884,0.903
